step,alive,fused_us
885,1000000,494.004
886,1000000,451.125
887,1000000,449.322
888,1000000,439.503
889,1000000,545.598
890,1000000,449.122
891,1000000,444.814
892,1000000,535.780
893,1000000,452.428
894,1000000,466.052
895,1000000,447.619
896,1000000,510.033
897,1000000,445.615
898,1000000,465.652
899,1000000,450.224
900,1000000,426.981
901,1000000,489.596
902,1000000,531.071
903,1000000,444.313
904,1000000,457.237
905,1000000,521.053
906,1000000,513.940
907,1000000,469.259
908,1000000,481.882
909,1000000,519.951
910,1000000,446.517
911,1000000,524.560
912,1000000,459.039
913,1000000,487.792
914,1000000,448.621
915,1000000,484.587
916,1000000,453.229
917,1000000,447.018
918,1000000,449.021
919,1000000,506.827
920,1000000,453.028
921,1000000,440.606
922,1000000,518.449
923,1000000,441.908
924,1000000,456.134
925,1000000,437.200
926,1000000,517.847
927,1000000,476.972
928,1000000,446.417
929,1000000,442.610
930,1000000,453.830
931,1000000,537.684
932,1000000,441.808
933,1000000,453.630
934,1000000,495.206
935,1000000,477.273
936,1000000,465.151
937,1000000,440.606
938,1000000,461.244
939,1000000,512.237
940,1000000,496.308
941,1000000,442.108
942,1000000,517.247
943,1000000,456.935
944,1000000,436.899
945,1000000,446.817
946,1000000,450.324
947,1000000,520.553
948,1000000,482.383
949,1000000,428.484
950,1000000,451.025
951,1000000,519.350
952,1000000,438.102
953,1000000,440.606
954,1000000,535.781
955,1000000,432.491
956,1000000,437.099
957,1000000,489.396
958,1000000,503.320
959,1000000,518.048
960,1000000,457.637
961,1000000,460.442
962,1000000,522.956
963,1000000,423.074
964,1000000,456.735
965,1000000,523.357
966,1000000,443.812
967,1000000,434.795
968,1000000,451.425
969,1000000,467.756
970,1000000,441.908
971,1000000,455.633
972,1000000,458.138
973,1000000,521.854
974,1000000,444.413
975,1000000,526.964
976,1000000,455.433
977,1000000,471.562
978,1000000,465.552
979,1000000,541.992
980,1000000,476.171
981,1000000,443.011
982,1000000,514.842
983,1000000,481.982
984,1000000,443.812
985,1000000,444.212
986,1000000,454.933
987,1000000,451.326
988,1000000,443.210
989,1000000,442.910
990,1000000,522.856
991,1000000,465.151
992,1000000,524.760
993,1000000,458.239
994,1000000,437.500
995,1000000,440.606
996,1000000,453.630
997,1000000,461.644
998,1000000,514.842
999,1000000,439.905
1000,1000000,454.531
1001,1000000,461.144
1002,1000000,450.925
1003,1000000,435.196
1004,1000000,465.351
1005,1000000,535.380
1006,1000000,499.614
1007,1000000,438.602
1008,1000000,520.151
1009,1000000,508.631
1010,1000000,436.398
1011,1000000,510.634
1012,1000000,451.672
1013,1000000,528.738
1014,1000000,430.426
1015,1000000,500.377
1016,1000000,445.960
1017,1000000,436.239
1018,1000000,462.897
1019,1000000,517.614
1020,1000000,444.256
1021,1000000,449.467
1022,1000000,452.473
1023,1000000,484.342
1024,1000000,450.069
1025,1000000,485.144
1026,1000000,484.142
1027,1000000,437.442
1028,1000000,440.348
1029,1000000,468.508
1030,1000000,509.196
1031,1000000,446.862
1032,1000000,450.169
1033,1000000,511.301
1034,1000000,453.877
1035,1000000,441.551
1036,1000000,499.174
1037,1000000,470.613
1038,1000000,510.699
